국가,전체 N,공공부문 N,비공공부문 N,공공부문 비율(%)
AT,495,125,370,25.25
BE,395,127,268,32.15
BG,413,87,326,21.07
CY,226,68,158,30.09
CZ,490,111,379,22.65
DE,739,125,614,16.91
DK,386,174,212,45.08
EE,405,86,319,21.23
ES,405,83,322,20.49
FI,343,147,196,42.86
FR,385,108,277,28.05
GR,328,52,276,15.85
HR,560,155,405,27.68
HU,537,84,453,15.64
IE,389,113,276,29.05
IT,390,94,296,24.1
LT,316,76,240,24.05
LU,251,136,115,54.18
LV,373,93,280,24.93
MT,169,71,98,42.01
NL,294,111,183,37.76
PL,452,76,376,16.81
PT,359,73,286,20.33
RO,542,87,455,16.05
SE,364,193,171,53.02
SI,345,107,238,31.01
SK,460,132,328,28.7
