국가,N,상세 설명 제공 비율(%),개인정보 접근권 비율(%),자동화 분석 결과 접근권 비율(%),무고지 비율(%)
AT,495,34.55,20.0,8.48,33.54
BE,395,27.09,12.41,3.8,47.34
BG,413,23.73,9.93,5.08,49.88
CY,226,20.35,10.18,4.42,49.12
CZ,490,12.45,10.41,5.51,56.53
DE,739,21.38,18.94,11.37,41.0
DK,386,15.8,4.66,7.25,52.07
EE,405,20.74,12.35,4.69,40.25
ES,405,17.04,8.15,3.21,53.09
FI,343,18.37,14.29,3.5,31.2
FR,385,14.03,9.87,2.34,53.77
GR,328,8.84,2.74,0.91,73.48
HR,560,17.32,16.43,5.54,54.64
HU,537,27.19,13.78,6.15,48.04
IE,389,22.88,5.66,2.31,46.02
IT,390,21.03,14.36,7.44,51.79
LT,316,19.62,11.39,7.28,41.77
LU,251,18.33,10.36,3.59,35.86
LV,373,15.28,5.63,2.41,42.63
MT,169,15.38,10.65,2.37,38.46
NL,294,15.31,17.69,6.46,44.22
PL,452,21.68,14.6,6.19,48.01
PT,359,18.94,6.96,4.74,58.5
RO,542,16.24,25.09,11.99,36.53
SE,364,22.8,6.87,5.22,44.78
SI,345,26.96,8.7,3.19,38.84
SK,460,25.87,13.48,5.87,37.39
