결과변수,결과변수 라벨,결과변수 구분,모형,표본 N,국가 수,공분산 추정,공공부문 계수(log-odds),표준오차,오즈비(OR),OR 95% CI 하한,OR 95% CI 상한,p-value,p-value 표기,유의성,비공공부문 조정예측확률(%),공공부문 조정예측확률(%),"조정확률 차이(%p, 공공-비공공)",Pseudo R²,Log-Likelihood,AIC,BIC
detailed_explanation,상세 설명 제공,메인 결과변수,Model 1,10811,27,Cluster-robust SE by country,-0.0299,0.0771,0.971,0.834,1.129,0.6982777606009589,0.698,,20.48,20.0,-0.47,0.0183,-5362.01,10780.02,10984.09
detailed_explanation,상세 설명 제공,메인 결과변수,Model 2,9719,27,Cluster-robust SE by country,-0.2267,0.0825,0.797,0.678,0.937,0.0060149466575214324,0.006,**,22.19,18.7,-3.49,0.0508,-4760.07,9610.13,9933.31
detailed_explanation,상세 설명 제공,메인 결과변수,Model 3,9169,27,Cluster-robust SE by country,-0.1772,0.0847,0.838,0.71,0.989,0.03634950179966073,0.036,*,22.49,19.81,-2.67,0.0888,-4372.02,8838.04,9172.85
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 1,10811,27,Cluster-robust SE by country,0.0544,0.0923,1.056,0.881,1.265,0.5553258349017152,0.555,,12.26,12.84,0.58,0.0352,-3910.51,7877.01,8081.09
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 2,9719,27,Cluster-robust SE by country,0.0426,0.0952,1.044,0.866,1.258,0.6542827979117078,0.654,,12.75,13.21,0.47,0.0426,-3572.65,7235.29,7558.47
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 3,9169,27,Cluster-robust SE by country,0.1151,0.0943,1.122,0.933,1.35,0.22200110084843738,0.222,,12.86,14.13,1.27,0.063,-3349.76,6793.53,7128.33
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 1,10811,27,Cluster-robust SE by country,-0.0625,0.0975,0.939,0.776,1.137,0.5215525174743663,0.522,,5.78,5.45,-0.33,0.033,-2285.06,4626.11,4830.19
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 2,9719,27,Cluster-robust SE by country,-0.1438,0.0995,0.866,0.713,1.053,0.1484067748183241,0.148,,6.16,5.4,-0.77,0.0413,-2103.88,4297.76,4620.94
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 3,9169,27,Cluster-robust SE by country,-0.1085,0.1042,0.897,0.731,1.101,0.29775604862952243,0.298,,6.31,5.71,-0.6,0.0498,-2013.5,4121.0,4455.8
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 1,10811,27,Cluster-robust SE by country,-0.0638,0.0575,0.938,0.838,1.05,0.2678346773045722,0.268,,46.65,45.12,-1.54,0.0224,-7295.75,14647.49,14851.57
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 2,9719,27,Cluster-robust SE by country,0.1517,0.0606,1.164,1.033,1.311,0.01238882195202738,0.012,*,42.89,46.26,3.37,0.0739,-6169.48,12428.95,12752.13
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 3,9169,27,Cluster-robust SE by country,0.0708,0.0666,1.073,0.942,1.223,0.28735787125560863,0.287,,42.43,43.81,1.38,0.1613,-5250.58,10595.16,10929.97
basic_notification_only,단순 고지,보조 결과변수,Model 1,10811,27,Cluster-robust SE by country,0.1213,0.0666,1.129,0.991,1.286,0.06868478644874536,0.069,,18.16,19.97,1.8,0.0362,-5016.9,10089.8,10293.87
basic_notification_only,단순 고지,보조 결과변수,Model 2,9719,27,Cluster-robust SE by country,0.0213,0.0633,1.022,0.902,1.156,0.7364105837315418,0.736,,19.54,19.85,0.32,0.0591,-4528.74,9147.49,9470.67
basic_notification_only,단순 고지,보조 결과변수,Model 3,9169,27,Cluster-robust SE by country,0.0394,0.0621,1.04,0.921,1.175,0.5255021642831285,0.526,,19.48,20.06,0.58,0.0684,-4232.87,8559.73,8894.54
