결과변수,결과변수 라벨,결과변수 구분,모형,표본 N,비공공부문 조정예측확률(%),공공부문 조정예측확률(%),"조정확률 차이(%p, 공공-비공공)",오즈비(OR),OR 95% CI 하한,OR 95% CI 상한,p-value 표기,유의성
detailed_explanation,상세 설명 제공,메인 결과변수,Model 1,10811,20.48,20.0,-0.47,0.971,0.834,1.129,0.698,
detailed_explanation,상세 설명 제공,메인 결과변수,Model 2,9719,22.19,18.7,-3.49,0.797,0.678,0.937,0.006,**
detailed_explanation,상세 설명 제공,메인 결과변수,Model 3,9169,22.49,19.81,-2.67,0.838,0.71,0.989,0.036,*
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 1,10811,12.26,12.84,0.58,1.056,0.881,1.265,0.555,
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 2,9719,12.75,13.21,0.47,1.044,0.866,1.258,0.654,
personal_data_access,개인정보 접근권 제공,메인 결과변수,Model 3,9169,12.86,14.13,1.27,1.122,0.933,1.35,0.222,
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 1,10811,5.78,5.45,-0.33,0.939,0.776,1.137,0.522,
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 2,9719,6.16,5.4,-0.77,0.866,0.713,1.053,0.148,
automated_analysis_access,자동화 분석 결과 접근권 제공,메인 결과변수,Model 3,9169,6.31,5.71,-0.6,0.897,0.731,1.101,0.298,
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 1,10811,46.65,45.12,-1.54,0.938,0.838,1.05,0.268,
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 2,9719,42.89,46.26,3.37,1.164,1.033,1.311,0.012,*
not_informed,기술 사용 사실 무고지,메인 결과변수,Model 3,9169,42.43,43.81,1.38,1.073,0.942,1.223,0.287,
basic_notification_only,단순 고지,보조 결과변수,Model 1,10811,18.16,19.97,1.8,1.129,0.991,1.286,0.069,
basic_notification_only,단순 고지,보조 결과변수,Model 2,9719,19.54,19.85,0.32,1.022,0.902,1.156,0.736,
basic_notification_only,단순 고지,보조 결과변수,Model 3,9169,19.48,20.06,0.58,1.04,0.921,1.175,0.526,
