결과변수,결과변수 라벨,모형,공분산 추정,변수,계수(log-odds),표준오차,오즈비(OR),OR 95% CI 하한,OR 95% CI 상한,p-value,p-value 표기,유의성
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,Intercept,-0.6316,0.0193,0.532,0.512,0.552,9.29782577549817e-234,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.BE],-0.349,0.0052,0.705,0.698,0.713,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.BG],-0.5298,0.0033,0.589,0.585,0.593,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.CY],-0.7238,0.0036,0.485,0.482,0.488,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.CZ],-1.3123,0.0022,0.269,0.268,0.27,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.DE],-0.6656,0.0065,0.514,0.507,0.521,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.DK],-1.028,0.015,0.358,0.347,0.368,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.EE],-0.7028,0.0032,0.495,0.492,0.498,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.ES],-0.9454,0.0038,0.389,0.386,0.391,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.FI],-0.8474,0.0134,0.429,0.417,0.44,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.FR],-1.1733,0.002,0.309,0.308,0.311,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.GR],-1.6969,0.0074,0.183,0.181,0.186,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.HR],-0.9232,0.0017,0.397,0.396,0.399,0.0,< .001,***
detailed_explanation,상세 설명 제공,Model 1,Cluster-robust SE by country,C(country_fe)[T.HU],-0.3489,0.0074,0.705,0.695,0.716,0.0,< .001,***
