결과변수,결과변수 라벨,진단 변수,진단 변수 라벨,범주,결과=0 N,결과=1 N,전체 N,결과=1 비율(%),희소·분리 경고
detailed_explanation,상세 설명 제공,country_fe,국가,AT,250,165,415,39.76,
detailed_explanation,상세 설명 제공,country_fe,국가,BE,245,75,320,23.44,
detailed_explanation,상세 설명 제공,country_fe,국가,BG,257,84,341,24.63,
detailed_explanation,상세 설명 제공,country_fe,국가,CY,157,45,202,22.28,
detailed_explanation,상세 설명 제공,country_fe,국가,CZ,366,58,424,13.68,
detailed_explanation,상세 설명 제공,country_fe,국가,DE,476,141,617,22.85,
detailed_explanation,상세 설명 제공,country_fe,국가,DK,271,56,327,17.13,
detailed_explanation,상세 설명 제공,country_fe,국가,EE,264,73,337,21.66,
detailed_explanation,상세 설명 제공,country_fe,국가,ES,287,62,349,17.77,
detailed_explanation,상세 설명 제공,country_fe,국가,FI,226,57,283,20.14,
detailed_explanation,상세 설명 제공,country_fe,국가,FR,259,51,310,16.45,
detailed_explanation,상세 설명 제공,country_fe,국가,GR,250,28,278,10.07,
detailed_explanation,상세 설명 제공,country_fe,국가,HR,383,87,470,18.51,
detailed_explanation,상세 설명 제공,country_fe,국가,HU,344,132,476,27.73,
detailed_explanation,상세 설명 제공,country_fe,국가,IE,245,79,324,24.38,
detailed_explanation,상세 설명 제공,country_fe,국가,IT,276,80,356,22.47,
detailed_explanation,상세 설명 제공,country_fe,국가,LT,208,53,261,20.31,
detailed_explanation,상세 설명 제공,country_fe,국가,LU,164,45,209,21.53,
detailed_explanation,상세 설명 제공,country_fe,국가,LV,248,48,296,16.22,
detailed_explanation,상세 설명 제공,country_fe,국가,MT,126,24,150,16.0,
detailed_explanation,상세 설명 제공,country_fe,국가,NL,227,43,270,15.93,
detailed_explanation,상세 설명 제공,country_fe,국가,PL,295,92,387,23.77,
detailed_explanation,상세 설명 제공,country_fe,국가,PT,206,62,268,23.13,
detailed_explanation,상세 설명 제공,country_fe,국가,RO,395,80,475,16.84,
detailed_explanation,상세 설명 제공,country_fe,국가,SE,238,73,311,23.47,
detailed_explanation,상세 설명 제공,country_fe,국가,SI,224,88,312,28.21,
detailed_explanation,상세 설명 제공,country_fe,국가,SK,291,110,401,27.43,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,10,501,175,676,25.89,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,11,212,81,293,27.65,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,12,1169,438,1607,27.26,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,13,1642,482,2124,22.69,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,14,628,158,786,20.1,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,15,1028,275,1303,21.11,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,16,211,47,258,18.22,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,17,1469,303,1772,17.1,
detailed_explanation,상세 설명 제공,occupation_code,직업 유형,18,318,32,350,9.14,
detailed_explanation,상세 설명 제공,workplace_size,조직 규모,1,151,43,194,22.16,
detailed_explanation,상세 설명 제공,workplace_size,조직 규모,2,1804,382,2186,17.47,
detailed_explanation,상세 설명 제공,workplace_size,조직 규모,3,2803,804,3607,22.29,
detailed_explanation,상세 설명 제공,workplace_size,조직 규모,4,1479,483,1962,24.62,
detailed_explanation,상세 설명 제공,workplace_size,조직 규모,5,941,279,1220,22.87,
detailed_explanation,상세 설명 제공,automated_monitoring_exposure,자동화 감시 경험,0.0,4886,897,5783,15.51,
detailed_explanation,상세 설명 제공,automated_monitoring_exposure,자동화 감시 경험,1.0,2292,1094,3386,32.31,
detailed_explanation,상세 설명 제공,automated_performance_management_exposure,자동화 성과평가 경험,0.0,5351,1048,6399,16.38,
detailed_explanation,상세 설명 제공,automated_performance_management_exposure,자동화 성과평가 경험,1.0,1827,943,2770,34.04,
personal_data_access,개인정보 접근권 제공,country_fe,국가,AT,322,93,415,22.41,
personal_data_access,개인정보 접근권 제공,country_fe,국가,BE,288,32,320,10.0,
personal_data_access,개인정보 접근권 제공,country_fe,국가,BG,301,40,341,11.73,
personal_data_access,개인정보 접근권 제공,country_fe,국가,CY,182,20,202,9.9,
personal_data_access,개인정보 접근권 제공,country_fe,국가,CZ,378,46,424,10.85,
personal_data_access,개인정보 접근권 제공,country_fe,국가,DE,490,127,617,20.58,
personal_data_access,개인정보 접근권 제공,country_fe,국가,DK,310,17,327,5.2,
personal_data_access,개인정보 접근권 제공,country_fe,국가,EE,290,47,337,13.95,
personal_data_access,개인정보 접근권 제공,country_fe,국가,ES,319,30,349,8.6,
personal_data_access,개인정보 접근권 제공,country_fe,국가,FI,239,44,283,15.55,
personal_data_access,개인정보 접근권 제공,country_fe,국가,FR,276,34,310,10.97,
personal_data_access,개인정보 접근권 제공,country_fe,국가,GR,270,8,278,2.88,
personal_data_access,개인정보 접근권 제공,country_fe,국가,HR,393,77,470,16.38,
personal_data_access,개인정보 접근권 제공,country_fe,국가,HU,404,72,476,15.13,
personal_data_access,개인정보 접근권 제공,country_fe,국가,IE,305,19,324,5.86,
personal_data_access,개인정보 접근권 제공,country_fe,국가,IT,305,51,356,14.33,
personal_data_access,개인정보 접근권 제공,country_fe,국가,LT,228,33,261,12.64,
personal_data_access,개인정보 접근권 제공,country_fe,국가,LU,186,23,209,11.0,
personal_data_access,개인정보 접근권 제공,country_fe,국가,LV,282,14,296,4.73,
personal_data_access,개인정보 접근권 제공,country_fe,국가,MT,134,16,150,10.67,
personal_data_access,개인정보 접근권 제공,country_fe,국가,NL,223,47,270,17.41,
personal_data_access,개인정보 접근권 제공,country_fe,국가,PL,326,61,387,15.76,
personal_data_access,개인정보 접근권 제공,country_fe,국가,PT,245,23,268,8.58,
personal_data_access,개인정보 접근권 제공,country_fe,국가,RO,350,125,475,26.32,
personal_data_access,개인정보 접근권 제공,country_fe,국가,SE,288,23,311,7.4,
personal_data_access,개인정보 접근권 제공,country_fe,국가,SI,283,29,312,9.29,
personal_data_access,개인정보 접근권 제공,country_fe,국가,SK,343,58,401,14.46,
personal_data_access,개인정보 접근권 제공,occupation_code,직업 유형,10,578,98,676,14.5,
personal_data_access,개인정보 접근권 제공,occupation_code,직업 유형,11,248,45,293,15.36,
