결과변수,결과변수 라벨,국가,부문,결과=0 N,결과=1 N,전체 N,결과=1 비율(%),희소·분리 경고
detailed_explanation,상세 설명 제공,AT,비공공부문,186,123,309,39.81,
detailed_explanation,상세 설명 제공,AT,공공부문,64,42,106,39.62,
detailed_explanation,상세 설명 제공,BE,비공공부문,149,56,205,27.32,
detailed_explanation,상세 설명 제공,BE,공공부문,96,19,115,16.52,
detailed_explanation,상세 설명 제공,BG,비공공부문,194,68,262,25.95,
detailed_explanation,상세 설명 제공,BG,공공부문,63,16,79,20.25,
detailed_explanation,상세 설명 제공,CY,비공공부문,107,33,140,23.57,
detailed_explanation,상세 설명 제공,CY,공공부문,50,12,62,19.35,
detailed_explanation,상세 설명 제공,CZ,비공공부문,281,44,325,13.54,
detailed_explanation,상세 설명 제공,CZ,공공부문,85,14,99,14.14,
detailed_explanation,상세 설명 제공,DE,비공공부문,396,120,516,23.26,
detailed_explanation,상세 설명 제공,DE,공공부문,80,21,101,20.79,
detailed_explanation,상세 설명 제공,DK,비공공부문,145,27,172,15.7,
detailed_explanation,상세 설명 제공,DK,공공부문,126,29,155,18.71,
detailed_explanation,상세 설명 제공,EE,비공공부문,209,59,268,22.01,
detailed_explanation,상세 설명 제공,EE,공공부문,55,14,69,20.29,
detailed_explanation,상세 설명 제공,ES,비공공부문,226,52,278,18.71,
detailed_explanation,상세 설명 제공,ES,공공부문,61,10,71,14.08,
detailed_explanation,상세 설명 제공,FI,비공공부문,135,29,164,17.68,
detailed_explanation,상세 설명 제공,FI,공공부문,91,28,119,23.53,
detailed_explanation,상세 설명 제공,FR,비공공부문,184,39,223,17.49,
detailed_explanation,상세 설명 제공,FR,공공부문,75,12,87,13.79,
detailed_explanation,상세 설명 제공,GR,비공공부문,213,20,233,8.58,
detailed_explanation,상세 설명 제공,GR,공공부문,37,8,45,17.78,
detailed_explanation,상세 설명 제공,HR,비공공부문,270,64,334,19.16,
detailed_explanation,상세 설명 제공,HR,공공부문,113,23,136,16.91,
detailed_explanation,상세 설명 제공,HU,비공공부문,291,111,402,27.61,
detailed_explanation,상세 설명 제공,HU,공공부문,53,21,74,28.38,
detailed_explanation,상세 설명 제공,IE,비공공부문,169,51,220,23.18,
detailed_explanation,상세 설명 제공,IE,공공부문,76,28,104,26.92,
detailed_explanation,상세 설명 제공,IT,비공공부문,206,63,269,23.42,
detailed_explanation,상세 설명 제공,IT,공공부문,70,17,87,19.54,
detailed_explanation,상세 설명 제공,LT,비공공부문,160,35,195,17.95,
detailed_explanation,상세 설명 제공,LT,공공부문,48,18,66,27.27,
detailed_explanation,상세 설명 제공,LU,비공공부문,70,25,95,26.32,
detailed_explanation,상세 설명 제공,LU,공공부문,94,20,114,17.54,
detailed_explanation,상세 설명 제공,LV,비공공부문,193,26,219,11.87,
detailed_explanation,상세 설명 제공,LV,공공부문,55,22,77,28.57,
detailed_explanation,상세 설명 제공,MT,비공공부문,71,17,88,19.32,
detailed_explanation,상세 설명 제공,MT,공공부문,55,7,62,11.29,
detailed_explanation,상세 설명 제공,NL,비공공부문,141,24,165,14.55,
