제외 국가,표본 N,포함 국가 수,수렴 여부,경고 메시지,공공부문 계수(log-odds),표준오차,오즈비(OR),OR 95% CI 하한,OR 95% CI 상한,p-value,p-value 표기,유의성
None (full Model 2),9719,27,True,,-0.2267,0.0825,0.797,0.678,0.937,0.0060149466575214324,0.006,**
AT,9258,26,True,,-0.2246,0.0891,0.799,0.671,0.951,0.011675433828456325,0.012,*
BE,9384,26,True,,-0.2037,0.0834,0.816,0.693,0.961,0.01457103900041132,0.015,*
BG,9359,26,True,,-0.2119,0.0845,0.809,0.686,0.955,0.012160041469300865,0.012,*
CY,9508,26,True,,-0.2238,0.0849,0.799,0.677,0.944,0.008379240643115932,0.008,**
CZ,9278,26,True,,-0.2418,0.0836,0.785,0.667,0.925,0.003815186436784529,0.004,**
DE,9064,26,True,,-0.2045,0.084,0.815,0.691,0.961,0.014894157919262041,0.015,*
DK,9370,26,True,,-0.2489,0.0829,0.78,0.663,0.917,0.0026597030747628203,0.003,**
EE,9358,26,True,,-0.2166,0.085,0.805,0.682,0.951,0.010788850400933555,0.011,*
ES,9344,26,True,,-0.2116,0.0839,0.809,0.687,0.954,0.011703768163547538,0.012,*
FI,9396,26,True,,-0.2642,0.0767,0.768,0.661,0.892,0.0005736642862122617,< .001,***
FR,9388,26,True,,-0.2173,0.0848,0.805,0.682,0.95,0.010384990120864373,0.010,*
GR,9428,26,True,,-0.2325,0.0833,0.793,0.673,0.933,0.005253333428576918,0.005,**
HR,9228,26,True,,-0.2234,0.0867,0.8,0.675,0.948,0.0099469218174613,0.010,**
HU,9229,26,True,,-0.2306,0.086,0.794,0.671,0.94,0.007352316677113606,0.007,**
IE,9373,26,True,,-0.2398,0.0855,0.787,0.665,0.93,0.005048848859974288,0.005,**
IT,9361,26,True,,-0.2176,0.0855,0.804,0.68,0.951,0.010957518800364573,0.011,*
LT,9437,26,True,,-0.2438,0.083,0.784,0.666,0.922,0.0033141107215053983,0.003,**
LU,9492,26,True,,-0.2123,0.0839,0.809,0.686,0.953,0.011408373800956374,0.011,*
LV,9394,26,True,,-0.2563,0.0791,0.774,0.663,0.904,0.0011924188453501401,0.001,**
MT,9566,26,True,,-0.2163,0.0835,0.806,0.684,0.949,0.00958510839711241,0.010,**
NL,9436,26,True,,-0.2376,0.0847,0.788,0.668,0.931,0.005011802797592204,0.005,**
PL,9319,26,True,,-0.2347,0.085,0.791,0.67,0.934,0.005739096464390558,0.006,**
PT,9431,26,True,,-0.2149,0.0832,0.807,0.685,0.949,0.009788483354985814,0.010,**
RO,9228,26,True,,-0.248,0.0826,0.78,0.664,0.917,0.002668241095405746,0.003,**
SE,9367,26,True,,-0.2297,0.0866,0.795,0.671,0.942,0.007958917122861288,0.008,**
SI,9398,26,True,,-0.2113,0.0844,0.81,0.686,0.955,0.012266888466480455,0.012,*
SK,9300,26,True,,-0.2037,0.0846,0.816,0.691,0.963,0.016054611490257834,0.016,*
