국가,N,공공부문_N,비공공부문_N,상세설명_예_N,상세설명_예_비율(%)
AT,461,118,343,170,36.88
BE,335,119,216,77,22.99
BG,360,82,278,92,25.56
CY,211,64,147,46,21.8
CZ,441,100,341,58,13.15
DE,655,109,546,147,22.44
DK,349,164,185,57,16.33
EE,361,73,288,76,21.05
ES,375,78,297,67,17.87
FI,323,139,184,61,18.89
FR,331,97,234,51,15.41
GR,291,48,243,28,9.62
HR,491,139,352,91,18.53
HU,490,76,414,134,27.35
IE,346,107,239,82,23.7
IT,358,87,271,80,22.35
LT,282,72,210,58,20.57
LU,227,127,100,46,20.26
LV,325,84,241,50,15.38
MT,153,63,90,24,15.69
NL,283,107,176,45,15.9
PL,400,67,333,93,23.25
PT,288,52,236,63,21.88
RO,491,79,412,81,16.5
SE,352,185,167,79,22.44
SI,321,100,221,88,27.41
SK,419,125,294,112,26.73
