Outcome,Specification,Parameter,Beta,SE,OR,OR 95% CI lower,OR 95% CI upper,p-value,p-value label,Significance
detailed_explanation,Baseline (common N),Intercept,-0.5303703041499688,0.017280919420771194,0.5883870471666865,0.5687921032102782,0.6086570388716267,7.483483920560048e-207,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.BE],-0.6688761279129466,0.0065990001239071274,0.5122839960615244,0.5057008801242924,0.5189528097247171,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.BG],-0.5324776810834242,0.001981485186665914,0.5871483994827291,0.5848725488586795,0.5894331058755665,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.CY],-0.7384790895340462,0.00308393407922217,0.4778401151709413,0.47496056983820883,0.48073711833459665,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.CZ],-1.350916674687571,0.0021318410222897362,0.25900273054650585,0.2579227889947882,0.2600871938923607,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.DE],-0.7050443348999431,0.006129076851136785,0.4940866684875396,0.4881868267044551,0.5000578111152217,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.DK],-1.0902271679139162,0.01430160593247609,0.33614012478184685,0.3268487345898439,0.3456956430629745,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.EE],-0.7857544292633658,0.003730544331475722,0.45577572150572415,0.45245536490755334,0.4591204446354782,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.ES],-0.98924849618656,0.0033613157991957817,0.3718560372740741,0.36941428021737915,0.3743139338733996,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.FI],-0.9150984932576892,0.011643910537047737,0.40047717984618286,0.3914411326143954,0.4097218156568705,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.FR],-1.1644361381488162,0.0023415763180281986,0.3120985929179827,0.31066952778484197,0.31353423168314115,0.0,< .001,***
detailed_explanation,Baseline (common N),C(country_fe)[T.GR],-1.7049995075463868,0.00629334511028572,0.1817724756898579,0.1795441325823579,0.18402847502278463,0.0,< .001,***
